id,tr_sentence,de_translation,de_prompt,level,topic,subtopic,grammar_focus,difficulty,tr_tokens,cloze_tr,cloze_answer,alt_translations_de,register,tags
satz_0001,"Her sabah kahve içerim.","Ich trinke jeden Morgen Kaffee.","Kaffee trinken (morgens)",A1,alltag,tagesablauf,aorist,easy,"Her | sabah | kahve | içerim | .","Her sabah kahve ___ .",içerim,"Jeden Morgen trinke ich Kaffee.",neutral,"kaffee,morgen,routine"
satz_0002,"Merhaba, nasılsın?","Hallo, wie geht es dir?","Wie geht's?",A1,alltag,smalltalk,fragepartikel,easy,"Merhaba | , | nasılsın | ?","Merhaba, ___ ?",nasılsın,"Hallo, wie geht's?",umgangssprachlich,"begruessung,alltag"
satz_0003,"Randevum saat onda.","Mein Termin ist um zehn Uhr.","Termin um zehn",A1,alltag,termine,lokativ,easy,"Randevum | saat | onda | .","Randevum saat ___ .",onda,"Ich habe um zehn einen Termin.",neutral,"uhrzeit,planung"
satz_0004,"Saat kaç?","Wie spät ist es?","Uhrzeit fragen",A1,alltag,uhrzeit,frage,easy,"Saat | kaç | ?","Saat ___ ?",kaç,"Wie viel Uhr ist es?",neutral,"zeit,fragen"
satz_0005,"Bugün hava çok güzel.","Heute ist das Wetter sehr schön.","Schönes Wetter",A1,alltag,wetter,adjektiv,easy,"Bugün | hava | çok | güzel | .","Bugün hava çok ___ .",güzel,"Das Wetter ist heute toll.",neutral,"sonne,draussen"
satz_0006,"Akşamları kitap okurum.","Abends lese ich Bücher.","Bücher lesen",A1,alltag,tagesablauf,aorist,easy,"Akşamları | kitap | okurum | .","Akşamları kitap ___ .",okurum,"Ich lese abends.",neutral,"hobby,abend"
satz_0007,"Neler yapıyorsun?","Was machst du so?","Was machst du?",A2,alltag,smalltalk,y_or,easy,"Neler | yapıyorsun | ?","Neler ___ ?",yapıyorsun,"Was treibst du so?",umgangssprachlich,"gespraech,freund"
satz_0008,"Yarın boş musun?","Bist du morgen frei?","Morgen frei?",A2,alltag,termine,fragepartikel,medium,"Yarın | boş | musun | ?","Yarın boş ___ ?",musun,"Hast du morgen Zeit?",umgangssprachlich,"treffen,zeit"
satz_0009,"Toplantı saat ikide.","Das Meeting ist um zwei Uhr.","Meeting um zwei",A2,alltag,uhrzeit,lokativ,easy,"Toplantı | saat | ikide | .","Toplantı saat ___ .",ikide,"Die Besprechung ist um zwei.",neutral,"arbeit,zeitpunkt"
satz_0010,"Yarın yağmur yağacak.","Morgen wird es regnen.","Regen morgen",A2,alltag,wetter,futur,medium,"Yarın | yağmur | yağacak | .","Yarın yağmur ___ .",yağacak,"Es wird morgen regnen.",neutral,"regen,vorhersage"
